circuit_key,circuit_short_name,country_name,location
2,Silverstone,United Kingdom,Silverstone
4,Hungaroring,Hungary,Budapest
6,Imola,Italy,Imola
7,Spa-Francorchamps,Belgium,Spa-Francorchamps
9,Austin,United States,Austin
10,Melbourne,Australia,Melbourne
14,Interlagos,Brazil,São Paulo
15,Catalunya,Spain,Barcelona
19,Spielberg,Austria,Spielberg
22,Monte Carlo,Monaco,Monaco
23,Montreal,Canada,Montréal
39,Monza,Italy,Monza
46,Suzuka,Japan,Suzuka
55,Zandvoort,Netherlands,Zandvoort
61,Singapore,Singapore,Marina Bay
63,Sakhir,Bahrain,Sakhir
65,Mexico City,Mexico,Mexico City
70,Yas Marina Circuit,United Arab Emirates,Yas Island
144,Baku,Azerbaijan,Baku
149,Jeddah,Saudi Arabia,Jeddah
150,Lusail,Qatar,Lusail
151,Miami,United States,Miami
152,Las Vegas,United States,Las Vegas
