session_key,driver_number,team_name
9222,1,Red Bull Racing
9222,2,Williams
9222,4,McLaren
9222,10,Alpine
9222,14,Aston Martin
9222,16,Ferrari
9222,20,Haas F1 Team
9222,21,AlphaTauri
9222,22,AlphaTauri
9222,23,Williams
9222,24,Alfa Romeo
9222,27,Haas F1 Team
9222,31,Alpine
9222,34,Aston Martin
9222,44,Mercedes
9222,55,Ferrari
9222,63,Mercedes
9222,77,Alfa Romeo
9222,81,McLaren
7763,1,Red Bull Racing
7763,2,Williams
7763,4,McLaren
7763,10,Alpine
7763,11,Red Bull Racing
7763,14,Aston Martin
7763,16,Ferrari
7763,20,Haas F1 Team
7763,21,AlphaTauri
7763,22,AlphaTauri
7763,24,Alfa Romeo
7763,27,Haas F1 Team
7763,31,Alpine
7763,44,Mercedes
7763,55,Ferrari
7763,63,Mercedes
7763,81,McLaren
7764,4,McLaren
7764,10,Alpine
7764,11,Red Bull Racing
7764,14,Aston Martin
7764,16,Ferrari
7764,20,Haas F1 Team
7764,21,AlphaTauri
7764,22,AlphaTauri
7764,23,Williams
7764,27,Haas F1 Team
7764,31,Alpine
7764,34,Aston Martin
7764,44,Mercedes
7764,55,Ferrari
7764,63,Mercedes
7764,77,Alfa Romeo
7764,81,McLaren
7765,1,Red Bull Racing
7765,2,Williams
7765,4,McLaren
7765,10,Alpine
7765,11,Red Bull Racing
7765,14,Aston Martin
7765,16,Ferrari
7765,18,Aston Martin
7765,20,Haas F1 Team
7765,21,AlphaTauri
7765,22,AlphaTauri
7765,23,Williams
7765,24,Alfa Romeo
7765,27,Haas F1 Team
7765,31,Alpine
7765,44,Mercedes
7765,55,Ferrari
7765,63,Mercedes
7765,77,Alfa Romeo
7765,81,McLaren
7766,1,Red Bull Racing
7766,2,Williams
7766,4,McLaren
7766,10,Alpine
7766,11,Red Bull Racing
7766,14,Aston Martin
7766,16,Ferrari
7766,18,Aston Martin
7766,20,Haas F1 Team
7766,21,AlphaTauri
7766,22,AlphaTauri
7766,23,Williams
7766,24,Alfa Romeo
7766,27,Haas F1 Team
7766,31,Alpine
7766,44,Mercedes
7766,55,Ferrari
7766,63,Mercedes
7766,77,Alfa Romeo
7766,81,McLaren
7767,1,Red Bull Racing
7767,2,Williams
7767,4,McLaren
7767,10,Alpine
7767,11,Red Bull Racing
7767,14,Aston Martin
7767,16,Ferrari
7767,18,Aston Martin
7767,20,Haas F1 Team
7767,21,AlphaTauri
7767,22,AlphaTauri
7767,23,Williams
7767,24,Alfa Romeo
7767,27,Haas F1 Team
7767,31,Alpine
7767,44,Mercedes
7767,55,Ferrari
7767,63,Mercedes
7767,77,Alfa Romeo
7767,81,McLaren
7768,1,Red Bull Racing
7768,2,Williams
7768,4,McLaren
7768,10,Alpine
7768,11,Red Bull Racing
7768,14,Aston Martin
7768,16,Ferrari
7768,18,Aston Martin
7768,20,Haas F1 Team
7768,21,AlphaTauri
7768,22,AlphaTauri
7768,23,Williams
7768,24,Alfa Romeo
7768,27,Haas F1 Team
7768,31,Alpine
7768,44,Mercedes
7768,55,Ferrari
7768,63,Mercedes
7768,77,Alfa Romeo
7768,81,McLaren
7953,1,Red Bull Racing
7953,2,Williams
7953,4,McLaren
7953,10,Alpine
7953,11,Red Bull Racing
7953,14,Aston Martin
7953,16,Ferrari
7953,18,Aston Martin
7953,20,Haas F1 Team
7953,21,AlphaTauri
7953,22,AlphaTauri
7953,23,Williams
7953,24,Alfa Romeo
7953,27,Haas F1 Team
7953,31,Alpine
7953,44,Mercedes
7953,55,Ferrari
7953,63,Mercedes
7953,77,Alfa Romeo
7953,81,McLaren
7772,1,Red Bull Racing
7772,2,Williams
7772,4,McLaren
7772,10,Alpine
7772,11,Red Bull Racing
7772,14,Aston Martin
7772,16,Ferrari
7772,18,Aston Martin
7772,20,Haas F1 Team
7772,21,AlphaTauri
7772,22,AlphaTauri
7772,23,Williams
7772,24,Alfa Romeo
7772,27,Haas F1 Team
7772,31,Alpine
7772,44,Mercedes
7772,55,Ferrari
7772,63,Mercedes
7772,77,Alfa Romeo
7772,81,McLaren
7773,1,Red Bull Racing
7773,2,Williams
7773,4,McLaren
7773,10,Alpine
7773,11,Red Bull Racing
7773,14,Aston Martin
7773,16,Ferrari
7773,18,Aston Martin
7773,20,Haas F1 Team
7773,21,AlphaTauri
7773,22,AlphaTauri
7773,23,Williams
7773,24,Alfa Romeo
7773,27,Haas F1 Team
7773,31,Alpine
7773,44,Mercedes
7773,55,Ferrari
7773,63,Mercedes
7773,77,Alfa Romeo
7773,81,McLaren
7774,1,Red Bull Racing
7774,2,Williams
7774,4,McLaren
7774,10,Alpine
7774,11,Red Bull Racing
7774,14,Aston Martin
7774,16,Ferrari
7774,18,Aston Martin
7774,20,Haas F1 Team
7774,21,AlphaTauri
7774,22,AlphaTauri
7774,23,Williams
7774,24,Alfa Romeo
7774,27,Haas F1 Team
7774,31,Alpine
7774,44,Mercedes
7774,55,Ferrari
7774,63,Mercedes
7774,77,Alfa Romeo
7774,81,McLaren
7775,1,Red Bull Racing
7775,2,Williams
7775,4,McLaren
7775,10,Alpine
7775,11,Red Bull Racing
7775,14,Aston Martin
