session_key,driver_number,position,date
7953,1,1,2023-03-05 14:01:06.787000+00:00
7953,11,2,2023-03-05 14:01:06.787000+00:00
7953,16,3,2023-03-05 14:01:06.787000+00:00
7953,55,4,2023-03-05 14:01:06.787000+00:00
7953,14,5,2023-03-05 14:01:06.787000+00:00
7953,63,6,2023-03-05 14:01:06.787000+00:00
7953,44,7,2023-03-05 14:01:06.787000+00:00
7953,18,8,2023-03-05 14:01:06.787000+00:00
7953,31,9,2023-03-05 14:01:06.787000+00:00
7953,27,10,2023-03-05 14:01:06.787000+00:00
7953,4,11,2023-03-05 14:01:06.787000+00:00
7953,77,12,2023-03-05 14:01:06.787000+00:00
7953,24,13,2023-03-05 14:01:06.787000+00:00
7953,22,14,2023-03-05 14:01:06.787000+00:00
7953,23,15,2023-03-05 14:01:06.787000+00:00
7953,2,16,2023-03-05 14:01:06.787000+00:00
7953,20,17,2023-03-05 14:01:06.787000+00:00
7953,81,18,2023-03-05 14:01:06.787000+00:00
7953,21,19,2023-03-05 14:01:06.787000+00:00
7953,10,20,2023-03-05 14:01:06.787000+00:00
7953,1,2,2023-03-05 15:03:45.594000+00:00
7953,11,3,2023-03-05 15:03:45.594000+00:00
7953,16,4,2023-03-05 15:03:45.594000+00:00
7953,55,5,2023-03-05 15:03:45.594000+00:00
7953,14,6,2023-03-05 15:03:45.594000+00:00
7953,63,7,2023-03-05 15:03:45.594000+00:00
7953,44,1,2023-03-05 15:03:45.594000+00:00
7953,1,3,2023-03-05 15:03:45.750000+00:00
7953,11,4,2023-03-05 15:03:45.750000+00:00
7953,16,5,2023-03-05 15:03:45.750000+00:00
7953,55,6,2023-03-05 15:03:45.750000+00:00
7953,14,7,2023-03-05 15:03:45.750000+00:00
7953,63,8,2023-03-05 15:03:45.750000+00:00
7953,18,2,2023-03-05 15:03:45.750000+00:00
7953,1,5,2023-03-05 15:03:45.828000+00:00
7953,11,6,2023-03-05 15:03:45.828000+00:00
7953,16,7,2023-03-05 15:03:45.828000+00:00
7953,55,8,2023-03-05 15:03:45.828000+00:00
7953,14,9,2023-03-05 15:03:45.828000+00:00
7953,63,10,2023-03-05 15:03:45.828000+00:00
7953,31,3,2023-03-05 15:03:45.828000+00:00
7953,27,11,2023-03-05 15:03:45.828000+00:00
7953,4,4,2023-03-05 15:03:45.828000+00:00
7953,1,6,2023-03-05 15:03:46.172000+00:00
7953,11,7,2023-03-05 15:03:46.172000+00:00
7953,16,8,2023-03-05 15:03:46.172000+00:00
7953,55,9,2023-03-05 15:03:46.172000+00:00
7953,14,10,2023-03-05 15:03:46.172000+00:00
7953,63,11,2023-03-05 15:03:46.172000+00:00
7953,27,5,2023-03-05 15:03:46.172000+00:00
7953,1,7,2023-03-05 15:03:46.203000+00:00
7953,11,8,2023-03-05 15:03:46.203000+00:00
7953,16,9,2023-03-05 15:03:46.203000+00:00
7953,55,10,2023-03-05 15:03:46.203000+00:00
7953,14,11,2023-03-05 15:03:46.203000+00:00
7953,63,12,2023-03-05 15:03:46.203000+00:00
7953,77,6,2023-03-05 15:03:46.203000+00:00
7953,1,8,2023-03-05 15:03:46.312000+00:00
7953,11,9,2023-03-05 15:03:46.312000+00:00
7953,16,10,2023-03-05 15:03:46.312000+00:00
7953,55,11,2023-03-05 15:03:46.312000+00:00
7953,14,12,2023-03-05 15:03:46.312000+00:00
7953,63,13,2023-03-05 15:03:46.312000+00:00
7953,24,14,2023-03-05 15:03:46.312000+00:00
7953,22,15,2023-03-05 15:03:46.312000+00:00
7953,23,7,2023-03-05 15:03:46.312000+00:00
7953,1,9,2023-03-05 15:03:46.578000+00:00
7953,11,10,2023-03-05 15:03:46.578000+00:00
7953,16,11,2023-03-05 15:03:46.578000+00:00
7953,55,12,2023-03-05 15:03:46.578000+00:00
7953,14,13,2023-03-05 15:03:46.578000+00:00
7953,63,14,2023-03-05 15:03:46.578000+00:00
7953,24,8,2023-03-05 15:03:46.578000+00:00
7953,1,1,2023-03-05 15:03:46.703000+00:00
7953,44,2,2023-03-05 15:03:46.703000+00:00
7953,18,3,2023-03-05 15:03:46.703000+00:00
7953,31,4,2023-03-05 15:03:46.703000+00:00
7953,27,6,2023-03-05 15:03:46.703000+00:00
