session_key,driver_number,position,number_of_laps,duration,gap_to_leader,gap_to_leader_raw,dnf,dns,dsq
9222,1,1,157,92.837,0.0,0,False,False,False
9222,14,2,60,92.866,0.029,0.029,False,False,False
9222,55,3,72,93.253,0.416,0.416,False,False,False
9222,16,4,64,93.267,0.43,0.43,False,False,False
9222,4,5,40,93.462,0.625,0.625,False,False,False
9222,44,6,83,93.508,0.671,0.671,False,False,False
9222,23,7,74,93.671,0.834,0.834,False,False,False
9222,24,8,67,93.723,0.886,0.886,False,False,False
9222,63,9,69,94.174,1.337,1.337,False,False,False
9222,2,10,75,94.324,1.487,1.487,False,False,False
9222,27,11,51,94.424,1.587,1.587,False,False,False
9222,77,12,71,94.558,1.721,1.721,False,False,False
9222,21,13,85,94.559,1.722,1.722,False,False,False
9222,34,14,40,94.564,1.727,1.727,False,False,False
9222,22,15,46,94.671,1.834,1.834,False,False,False
9222,10,16,60,94.822,1.985,1.985,False,False,False
9222,31,17,53,94.871,2.034,2.034,False,False,False
9222,81,18,52,94.888,2.051,2.051,False,False,False
9222,20,19,57,95.087,2.25,2.25,False,False,False
7763,24,1,133,91.61,0.0,0,False,False,False
7763,1,2,47,91.65,0.04,0.04,False,False,False
7763,14,3,130,92.205,0.595,0.595,False,False,False
7763,21,4,74,92.222,0.612,0.612,False,False,False
7763,27,5,68,92.466,0.856,0.856,False,False,False
7763,55,6,70,92.486,0.876,0.876,False,False,False
7763,2,7,154,92.549,0.939,0.939,False,False,False
7763,16,8,68,92.725,1.115,1.115,False,False,False
7763,81,9,74,93.175,1.565,1.565,False,False,False
7763,10,10,59,93.186,1.576,1.576,False,False,False
7763,20,11,67,93.442,1.832,1.832,False,False,False
7763,31,12,49,93.49,1.88,1.88,False,False,False
7763,63,13,26,93.654,2.044,2.044,False,False,False
7763,11,14,76,93.751,2.141,2.141,False,False,False
7763,44,15,72,93.954,2.344,2.344,False,False,False
7763,4,16,65,95.522,3.912,3.912,False,False,False
7763,22,17,85,95.708,4.098,4.098,False,False,False
7764,11,1,133,90.305,0.0,0,False,False,False
7764,44,2,65,90.664,0.359,0.359,False,False,False
7764,77,3,131,90.827,0.522,0.522,False,False,False
7764,16,4,67,91.024,0.719,0.719,False,False,False
7764,55,5,76,91.036,0.731,0.731,False,False,False
7764,22,6,79,91.261,0.956,0.956,False,False,False
7764,20,7,95,91.381,1.076,1.076,False,False,False
7764,63,8,83,91.442,1.137,1.137,False,False,False
7764,14,9,80,91.45,1.145,1.145,False,False,False
7764,34,10,77,92.075,1.77,1.77,False,False,False
7764,4,11,37,92.16,1.855,1.855,False,False,False
7764,10,12,56,92.762,2.457,2.457,False,False,False
7764,23,13,136,92.793,2.488,2.488,False,False,False
7764,31,14,76,93.257,2.952,2.952,False,False,False
7764,27,15,77,93.329,3.024,3.024,False,False,False
7764,81,16,44,93.655,3.35,3.35,False,False,False
7764,21,17,87,98.244,7.939,7.939,False,False,False
7765,11,1,21,92.758,0.0,0,False,False,False
7765,14,2,22,93.196,0.438,0.438,False,False,False
7765,1,3,21,93.375,0.617,0.617,False,False,False
7765,4,4,21,94.165,1.407,1.407,False,False,False
7765,16,5,17,94.257,1.499,1.499,False,False,False
7765,18,6,17,94.298,1.54,1.54,False,False,False
7765,20,7,20,94.402,1.644,1.644,False,False,False
7765,24,8,18,94.575,1.817,1.817,False,False,False
7765,77,9,20,94.689,1.931,1.931,False,False,False
7765,44,10,13,94.917,2.159,2.159,False,False,False
7765,63,11,20,94.966,2.208,2.208,False,False,False
7765,81,12,24,94.997,2.239,2.239,False,False,False
7765,22,13,20,95.015,2.257,2.257,False,False,False
7765,27,14,22,95.043,2.285,2.285,False,False,False
7765,31,15,20,95.105,2.347,2.347,False,False,False
7765,21,16,25,95.402,2.644,2.644,False,False,False
7765,10,17,22,95.455,2.697,2.697,False,False,False
7765,2,18,24,95.749,2.991,2.991,False,False,False
7765,23,19,15,96.018,3.26,3.26,False,False,False
7765,55,20,21,96.072,3.314,3.314,False,False,False
7766,14,1,25,90.907,0.0,0,False,False,False
7766,1,2,24,91.076,0.169,0.169,False,False,False
7766,11,3,26,91.078,0.171,0.171,False,False,False
7766,16,4,26,91.367,0.46,0.46,False,False,False
7766,27,5,25,91.376,0.469,0.469,False,False,False
7766,18,6,28,91.45,0.543,0.543,False,False,False
7766,10,7,24,91.475,0.568,0.568,False,False,False
7766,44,8,27,91.543,0.636,0.636,False,False,False
7766,4,9,27,91.57,0.663,0.663,False,False,False
7766,24,10,27,91.586,0.679,0.679,False,False,False
7766,31,11,25,91.608,0.701,0.701,False,False,False
7766,77,12,28,91.793,0.886,0.886,False,False,False
7766,63,13,25,91.882,0.975,0.975,False,False,False
7766,55,14,28,91.956,1.049,1.049,False,False,False
7766,81,15,27,92.024,1.117,1.117,False,False,False
7766,20,16,18,92.11,1.203,1.203,False,False,False
7766,23,17,28,92.44,1.533,1.533,False,False,False
7766,22,18,27,92.525,1.618,1.618,False,False,False
7766,21,19,28,92.605,1.698,1.698,False,False,False
7766,2,20,29,92.749,1.842,1.842,False,False,False
7767,14,1,13,92.34,0.0,0,False,False,False
7767,1,2,13,92.345,0.005,0.005,False,False,False
7767,11,3,12,92.446,0.106,0.106,False,False,False
7767,44,4,17,92.555,0.215,0.215,False,False,False
7767,16,5,21,92.624,0.284,0.284,False,False,False
7767,63,6,17,92.731,0.391,0.391,False,False,False
7767,18,7,16,92.919,0.579,0.579,False,False,False
7767,55,8,21,92.945,0.605,0.605,False,False,False
7767,81,9,12,93.045,0.705,0.705,False,False,False
7767,10,10,13,93.064,0.724,0.724,False,False,False
7767,31,11,16,93.116,0.776,0.776,False,False,False
7767,24,12,13,93.18,0.84,0.84,False,False,False
7767,4,13,16,93.202,0.862,0.862,False,False,False
7767,20,14,21,93.381,1.041,1.041,False,False,False
7767,27,15,23,93.423,1.083,1.083,False,False,False
7767,22,16,15,93.475,1.135,1.135,False,False,False
7767,77,17,14,93.629,1.289,1.289,False,False,False
7767,2,18,15,93.665,1.325,1.325,False,False,False
7767,23,19,15,93.882,1.542,1.542,False,False,False
7767,21,20,18,94.082,1.742,1.742,False,False,False
7768,1,1,15,,0.0,0.0,False,False,False
7768,11,2,15,,0.138,0.138,False,False,False
7768,16,3,17,,0.292,0.292,False,False,False
7768,55,4,18,,0.446,0.446,False,False,False
7768,14,5,15,,0.628,0.628,False,False,False
7768,63,6,15,,0.632,0.632,False,False,False
7768,44,7,15,,0.676,0.676,False,False,False
7768,18,8,18,,1.128,1.128,False,False,False
7768,31,9,15,,1.276,1.276,False,False,False
7768,27,10,17,,0.527,0.527,True,False,False
7768,4,11,13,,1.099,1.099,False,False,False
7768,77,12,12,,1.161,1.161,False,False,False
7768,24,13,12,,1.191,1.191,False,False,False
7768,22,14,15,,2.228,2.228,False,False,False
7768,23,15,8,,0.468,0.468,True,False,False
7768,2,16,6,,0.659,0.659,False,False,False
7768,20,17,6,,0.899,0.899,False,False,False
7768,81,18,7,,1.108,1.108,False,False,False
7768,21,19,9,,1.128,1.128,False,False,False
7768,10,20,6,,1.188,1.188,False,False,False
7953,1,1,57,5636.736,0.0,0,False,False,False
7953,11,2,57,5648.723,11.987,11.987,False,False,False
7953,14,3,57,5675.373,38.637,38.637,False,False,False
7953,55,4,57,5684.788,48.052,48.052,False,False,False
7953,44,5,57,5687.713,50.977,50.977,False,False,False
7953,18,6,57,5691.238,54.502,54.502,False,False,False
7953,63,7,57,5692.609,55.873,55.873,False,False,False
7953,77,8,57,5709.383,72.647,72.647,False,False,False
7953,10,9,57,5710.489,73.753,73.753,False,False,False
7953,23,10,57,5726.51,89.774,89.774,False,False,False
7953,22,11,57,5727.606,90.87,90.87,False,False,False
7953,2,12,56,,,+1 LAP,False,False,False
7953,20,13,56,,,+1 LAP,False,False,False
7953,21,14,56,,,+1 LAP,False,False,False
7953,27,15,56,,,+1 LAP,False,False,False
7953,24,16,56,,,+1 LAP,False,False,False
7953,4,17,55,,,+2 LAPS,False,False,False
7953,31,,41,,,,True,False,False
7953,16,,39,,,,True,False,False
7953,81,,13,,,,True,False,False
7772,1,1,18,89.617,0.0,0,False,False,False
7772,11,2,20,90.1,0.483,0.483,False,False,False
7772,14,3,22,90.315,0.698,0.698,False,False,False
7772,18,4,20,90.577,0.96,0.96,False,False,False
7772,63,5,26,90.771,1.154,1.154,False,False,False
7772,44,6,26,90.787,1.17,1.17,False,False,False
7772,55,7,23,90.924,1.307,1.307,False,False,False
7772,10,8,24,90.949,1.332,1.332,False,False,False
7772,23,9,23,91.03,1.413,1.413,False,False,False
7772,22,10,25,91.11,1.493,1.493,False,False,False
7772,16,11,26,91.118,1.501,1.501,False,False,False
7772,31,12,22,91.181,1.564,1.564,False,False,False
7772,21,13,29,91.45,1.833,1.833,False,False,False
7772,81,14,24,91.491,1.874,1.874,False,False,False
7772,27,15,22,91.552,1.935,1.935,False,False,False
7772,20,16,23,91.566,1.949,1.949,False,False,False
7772,2,17,26,91.922,2.305,2.305,False,False,False
7772,77,18,25,91.97,2.353,2.353,False,False,False
7772,24,19,22,91.986,2.369,2.369,False,False,False
7772,4,20,21,92.149,2.532,2.532,False,False,False
7773,1,1,29,89.603,0.0,0,False,False,False
7773,14,2,26,89.811,0.208,0.208,False,False,False
7773,11,3,26,89.902,0.299,0.299,False,False,False
7773,31,4,27,90.039,0.436,0.436,False,False,False
7773,63,5,27,90.07,0.467,0.467,False,False,False
7773,10,6,28,90.1,0.497,0.497,False,False,False
7773,18,7,27,90.11,0.507,0.507,False,False,False
7773,27,8,27,90.181,0.578,0.578,False,False,False
7773,16,9,28,90.341,0.738,0.738,False,False,False
7773,55,10,29,90.592,0.989,0.989,False,False,False
7773,44,11,27,90.599,0.996,0.996,False,False,False
7773,4,12,27,90.721,1.118,1.118,False,False,False
7773,22,13,30,90.776,1.173,1.173,False,False,False
7773,23,14,27,90.81,1.207,1.207,False,False,False
7773,20,15,25,90.82,1.217,1.217,False,False,False
7773,24,16,27,90.837,1.234,1.234,False,False,False
7773,21,17,29,90.921,1.318,1.318,False,False,False
7773,2,18,30,90.959,1.356,1.356,False,False,False
7773,81,19,26,90.964,1.361,1.361,False,False,False
7773,77,20,30,91.052,1.449,1.449,False,False,False
7774,1,1,20,88.485,0.0,0,False,False,False
7774,11,2,15,89.098,0.613,0.613,False,False,False
7774,14,3,21,89.483,0.998,0.998,False,False,False
7774,18,4,21,89.509,1.024,1.024,False,False,False
7774,44,5,18,89.568,1.083,1.083,False,False,False
7774,16,6,16,89.588,1.103,1.103,False,False,False
7774,4,7,18,89.69,1.205,1.205,False,False,False
7774,81,8,23,89.698,1.213,1.213,False,False,False
7774,10,9,19,89.701,1.216,1.216,False,False,False
7774,55,10,16,89.761,1.276,1.276,False,False,False
7774,63,11,19,89.811,1.326,1.326,False,False,False
7774,24,12,21,89.917,1.432,1.432,False,False,False
7774,27,13,19,89.933,1.448,1.448,False,False,False
7774,31,14,19,89.953,1.468,1.468,False,False,False
7774,23,15,18,89.983,1.498,1.498,False,False,False
7774,2,16,18,90.035,1.55,1.55,False,False,False
7774,20,17,15,90.131,1.646,1.646,False,False,False
7774,77,18,20,90.317,1.832,1.832,False,False,False
7774,22,19,20,90.797,2.312,2.312,False,False,False
7775,11,1,18,,0.0,0.0,False,False,False
7775,16,2,19,,0.155,0.155,False,False,False
7775,14,3,18,,0.465,0.465,False,False,False
7775,63,4,21,,0.592,0.592,False,False,False
7775,55,5,24,,0.666,0.666,False,False,False
7775,18,6,20,,0.68,0.68,False,False,False
