session_key,session_type,session_name,date_start,date_end,year,circuit_key,meeting_key
9222,Practice,Day 1,2023-02-23 07:00:00+00:00,2023-02-23 16:30:00+00:00,2023,63,1140
7763,Practice,Day 2,2023-02-24 07:00:00+00:00,2023-02-24 16:30:00+00:00,2023,63,1140
7764,Practice,Day 3,2023-02-25 07:00:00+00:00,2023-02-25 16:30:00+00:00,2023,63,1140
7765,Practice,Practice 1,2023-03-03 11:30:00+00:00,2023-03-03 12:30:00+00:00,2023,63,1141
7766,Practice,Practice 2,2023-03-03 15:00:00+00:00,2023-03-03 16:00:00+00:00,2023,63,1141
7767,Practice,Practice 3,2023-03-04 11:30:00+00:00,2023-03-04 12:30:00+00:00,2023,63,1141
7768,Qualifying,Qualifying,2023-03-04 15:00:00+00:00,2023-03-04 16:00:00+00:00,2023,63,1141
7953,Race,Race,2023-03-05 15:00:00+00:00,2023-03-05 17:00:00+00:00,2023,63,1141
7772,Practice,Practice 1,2023-03-17 13:30:00+00:00,2023-03-17 14:30:00+00:00,2023,149,1142
7773,Practice,Practice 2,2023-03-17 17:00:00+00:00,2023-03-17 18:00:00+00:00,2023,149,1142
7774,Practice,Practice 3,2023-03-18 13:30:00+00:00,2023-03-18 14:30:00+00:00,2023,149,1142
7775,Qualifying,Qualifying,2023-03-18 17:00:00+00:00,2023-03-18 18:00:00+00:00,2023,149,1142
7779,Race,Race,2023-03-19 17:00:00+00:00,2023-03-19 19:00:00+00:00,2023,149,1142
7780,Practice,Practice 1,2023-03-31 02:30:00+00:00,2023-03-31 03:30:00+00:00,2023,10,1143
7781,Practice,Practice 2,2023-03-31 06:00:00+00:00,2023-03-31 07:00:00+00:00,2023,10,1143
7782,Practice,Practice 3,2023-04-01 02:30:00+00:00,2023-04-01 03:30:00+00:00,2023,10,1143
7783,Qualifying,Qualifying,2023-04-01 06:00:00+00:00,2023-04-01 07:00:00+00:00,2023,10,1143
7787,Race,Race,2023-04-02 05:00:00+00:00,2023-04-02 07:00:00+00:00,2023,10,1143
9063,Practice,Practice 1,2023-04-28 09:30:00+00:00,2023-04-28 10:30:00+00:00,2023,144,1207
9064,Qualifying,Qualifying,2023-04-28 13:00:00+00:00,2023-04-28 14:00:00+00:00,2023,144,1207
9278,Qualifying,Sprint Qualifying,2023-04-29 08:30:00+00:00,2023-04-29 09:14:00+00:00,2023,144,1207
9069,Race,Sprint,2023-04-29 13:30:00+00:00,2023-04-29 14:00:00+00:00,2023,144,1207
9070,Race,Race,2023-04-30 11:00:00+00:00,2023-04-30 13:00:00+00:00,2023,144,1207
9071,Practice,Practice 1,2023-05-05 18:00:00+00:00,2023-05-05 19:00:00+00:00,2023,151,1208
9072,Practice,Practice 2,2023-05-05 21:30:00+00:00,2023-05-05 22:30:00+00:00,2023,151,1208
9073,Practice,Practice 3,2023-05-06 16:30:00+00:00,2023-05-06 17:30:00+00:00,2023,151,1208
9074,Qualifying,Qualifying,2023-05-06 20:00:00+00:00,2023-05-06 21:00:00+00:00,2023,151,1208
9078,Race,Race,2023-05-07 19:30:00+00:00,2023-05-07 21:30:00+00:00,2023,151,1208
