circuit_short_name,circuit_key,asset_path
Sakhir,63,assets/circuits/bahrain-1.svg
Jeddah,149,assets/circuits/jeddah.svg
Melbourne,10,assets/circuits/melbourne.svg
Baku,144,assets/circuits/baku.svg
Miami,151,assets/circuits/miami.svg
Imola,6,assets/circuits/imola.svg
Monte Carlo,22,assets/circuits/monaco.svg
Catalunya,15,assets/circuits/catalunya.svg
Montreal,23,assets/circuits/montreal.svg
Spielberg,19,assets/circuits/spielberg.svg
Silverstone,2,assets/circuits/silverstone.svg
Hungaroring,4,assets/circuits/hungaroring.svg
Spa-Francorchamps,7,assets/circuits/spa-francorchamps.svg
Zandvoort,55,assets/circuits/zandvoort.svg
Monza,39,assets/circuits/monza.svg
Singapore,61,assets/circuits/marina-bay.svg
Suzuka,46,assets/circuits/suzuka.svg
Lusail,150,assets/circuits/lusail.svg
Austin,9,assets/circuits/austin.svg
Mexico City,65,assets/circuits/mexico-city.svg
Interlagos,14,assets/circuits/interlagos.svg
Las Vegas,152,assets/circuits/las-vegas.svg
Yas Marina Circuit,70,assets/circuits/yas-marina.svg
